#Calibration Information
5
5
144.000000 780.000000
204.250000 781.500000
264.500000 783.000000
324.750000 784.500000
385.000000 786.000000
143.000000 826.250000
203.000000 827.125000
263.000000 828.000000
323.000000 828.875000
383.000000 829.750000
142.000000 872.500000
201.750000 872.750000
261.500000 873.000000
321.250000 873.250000
381.000000 873.500000
141.000000 918.750000
200.500000 918.375000
260.000000 918.000000
319.500000 917.625000
379.000000 917.250000
140.000000 965.000000
199.250000 964.000000
258.500000 963.000000
317.750000 962.000000
377.000000 961.000000
