#Calibration Information
5
5
142.000000 789.000000
202.750000 790.000000
263.500000 791.000000
324.250000 792.000000
385.000000 793.000000
142.750000 834.500000
203.312500 834.937500
263.875000 835.375000
324.437500 835.812500
385.000000 836.250000
143.500000 880.000000
203.875000 879.875000
264.250000 879.750000
324.625000 879.625000
385.000000 879.500000
144.250000 925.500000
204.437500 924.812500
264.625000 924.125000
324.812500 923.437500
385.000000 922.750000
145.000000 971.000000
205.000000 969.750000
265.000000 968.500000
325.000000 967.250000
385.000000 966.000000
